Index,Color,Sentences
0,0x000000,uneven paths heel feels wobbly side‑to‑side. slanted pavements bring quick aching shift under ankle when step.
1,0x000000,"feverish feeling eased, i’m now breathing faster dry, exhausting cough. get light‑headed after climbing stairs feel can’t fill my lungs completely."
2,0x000000,"while working garden, touched metal grill had stove. my forearm has burning itch faint scar."
3,0x000000,short sprint brought twinge middle back my thigh. it’s tender along band stiffens sit too long.
4,0x000000,"accidentally my hand hot mug minute. now feels very tender, there's small blister."
5,0x000000,sudden twist while reaching bag made one side my lower back feel ‘switched off’ sore. small stabilizing movements feel shaky.
6,0x000000,"during birthday party, hot beverage knocked onto my back. area red, tender, small blister visible my shoulder."
7,0x000000,noticed rash my forearms after handling brand sunscreen. itchy raised. didn’t realize could allergic reaction until started spreading. i’ve stopped using product.
8,0x000000,"since lost 20 pounds, my headaches have lessened, still feel lightheaded when up. believe my diet culprit. haven't checked my blood pressure."
9,0x000000,"rash my face jaw classic hives appearance. it’s raised, itchy, pink. feel tingling sensation. think might food‑related."
10,0x000000,feel unexplained pressure behind my eyes dull ache my neck. it’s mild persistent.
11,0x000000,"slipped ice landed seated. since sitting hard chairs very uncomfortable, leaning slightly forward helps. standing sitting careful process."
12,0x000000,there’s small sore area top my foot flares when push off while walking. tight shoes make throb limp evening.
13,0x000000,have increased thirst level i’m going bathroom more than usual. i’ve losing weight without effort. doctor suspected blood sugar disorder.
14,0x000000,"sole, painful spot feels stepping stone. surface rough tiny dark dots"
15,0x000000,"keep waking night pee, takes longer sleep. i’m more tired during day, even after full night's rest. my doctor suspects might developing blood sugar problem."
16,0x000000,where my collarbone meets chest feels puffy evening aches when push floor. reaching across my body brings small jab there.
17,0x000000,my eyelids squeeze shut little bursts when i’m reading bright light. have blink hard stop my eyes feel tired evening.
18,0x000000,base my thumb toward wrist there’s tiny sore spot. pinching pressing jar lid sets off while.
19,0x000000,"woke runny nose sore throat, thought just bad cold. congestion hasn't cleared even after tried decongestants. have feeling slightly feverish tired."
20,0x000000,"since last week, my right ear has aching noticed slight fluid drainage. feel buzzing sound when move my head. pain most intense night."
21,0x000000,"metal pot fell my thigh. skin red blistered, it’s uncomfortable when walk."
22,0x000000,"after my last run, felt sudden wheeze made hard breathe; lingered even after stopped."
23,0x000000,"after eating lunch, noticed rash my arms. itchy seemed spread over my chest. haven't changed my diet taken any medications. i’m concerned."
24,0x000000,my right ear hurts stone middle. pain stronger when drive. had flu 5 days ago started soon after.
25,0x000000,"my right ear hurts when swallow, feel pressure when sit car. it’s few days since my flu. have slight fever sore throat."
26,0x000000,"noticed my hands have started feel numb tingly, especially after standing while. also keep having headaches, my vision feels fuzzy when drive."
27,0x000000,late afternoon my eyelids feel heavy my smile looks uneven photos. climbing stairs fine morning evening my legs tire quickly need rail.
28,0x000000,"felt better day after flu‑like symptoms, cough came back heavier chills. there’s sharp ache right side when take breath i’m more wiped out again."
29,0x000000,have nagging headache occasional chest tightness appears late afternoon. it’s not painful persistent.
30,0x000000,had light headache runny nose after long day work. only mildly fatigued decided skip meeting.
31,0x000000,can’t seem get enough air after run have persistent cough doesn’t clear up. still think it’s just over‑exertion.
32,0x000000,"drift sideways when try walk straight line, quick turns make me wobble. reaching glass, my hand overshoots bit before correct it."
33,0x000000,noticed strange numb patch saddle area it’s harder feel when wipe. my legs feel heavy after short walk move more cautiously.
34,0x000000,opening bottles turning keys makes base my thumb feel loose achy. holding book long time tires joint quickly.
35,0x000000,my doctor says my lungs feel tight when sneeze; it's can't exhale properly.
36,0x000000,"woke minor headache, congestion, dry cough. stayed home took over-the-counter pain relievers. end day, felt normal."
37,0x000000,keep waking night because my ear hurts so badly. also feel something blocking my ear.
38,0x000000,"my nose runny my throat felt scratchy, didn't think anything serious. friend mentioned 'cold', realized that."
39,0x000000,i've feeling unusually fatigued can't concentrate my desk. my eyes feel strained sometimes hear buzzing my ears. my wife has noticed get short breath when walking stairs.
40,0x000000,"forgot my hand inside boiling pot while making soup. forearm now bright red, itching, small blister forming."
41,0x000000,"my ears felt full my nose runny, didn't consider cold. colleague told me typical common cold."
42,0x000000,"i’ve increasing my runs now have pinpoint ache inside my shin. it’s tender touch hurts even during easy jogs, worse hard pavement."
43,0x000000,"my sister told me cough lot night, seems can't catch my breath middle night."
44,0x000000,"between my toes skin itchy, cracked, peels. after workouts area stings smells stronger"
45,0x000000,painting fence accidentally sprayed can paint my arm. area looks sunburn.
46,0x000000,"over couple days, vision one eye dimmed grey filter. moving eye hurts slightly, bright colors look washed out compared other eye."
47,0x000000,"my doctor said my hemoglobin low, didn't realize would affect me much. get winded when walk stairs."
48,0x000000,"woke rash hives my forearms upper legs. they feel small, itchy bumps. itching severe i’ve scratching all night."
49,0x000000,"doctor told me my blood pressure high, didn't realize until they mentioned it. never had any symptoms. have medication high cholesterol."
50,0x000000,keep getting headaches feeling exhausted office. my face looks washed out feel sluggish all day.
51,0x000000,"breathing has become very labored over day; even speaking full sentences difficult. feel can’t get enough air, need sit very still avoid getting winded."
52,0x000000,"waking up, my jaw feels tired sore near cheek. chewing tougher foods brings dull ache eases rest jaw."
53,0x000000,"experienced sudden onset sneezing runny nose, plus mild headache. tired my throat felt raw. didn't think anything serious so rested."
54,0x000000,rolled my ankle stepping off curb. there’s tender point along outside bone above ankle it’s hard put weight without sharp twinge.
55,0x000000,"after long hike, lifting my knee turning hip outward gives pulling pain outer hip inner knee. sitting cross‑legged uncomfortable."
56,0x000000,mug too hot my desk accidentally touched it. right wrist feels it’s fire has blister.
57,0x000000,my feet feel i’m standing thin socks even when barefoot. night there’s burning tingling toes makes hard fall asleep.
58,0x000000,"sudden rash has covered my chest upper arms. they red, itchy, seem have fine texture. hives started after allergy test."
